HIED_2011_data_flag,HIED_2012_data_flag,HIED_2013_data_flag,MADIP_ID_04,hied_2011_attendance_type,hied_2011_completion_field,hied_2011_completion_flag,hied_2011_field,hied_2011_level,hied_2012_attendance_type,hied_2012_completion_field,hied_2012_completion_flag,hied_2012_field,hied_2012_level,hied_2013_attendance_type,hied_2013_completion_field,hied_2013_completion_flag,hied_2013_field,hied_2013_level,hied_cob_2dig,hied_cob_ind,hied_disability_ind,hied_indigenous_ind,hied_language_ind,hied_2011_completion_course_type,hied_2012_completion_course_type,hied_2013_completion_course_type,hied_yr_arrival,gender
0,1,1,C1600002441,2,80300,1,80300,@@,1,80399,1,80399,@@,2,10915,1,10915,60,11,1,3,2,1,@@,@@,60,@@@@,M
0,0,0,C1600002446,2,@@,0,60301,10,2,70199,1,70199,@@,2,61300,1,61300,10,11,1,2,2,1,@@,@@,@@,2007,F
0,1,1,C1600002455,1,80000,1,80000,@@,1,90399,1,90399,@@,1,90000,1,90000,@@,11,1,3,2,3,@@,@@,@@,@@@@,F
1,0,0,C1600002469,2,80000,1,80000,@@,1,90501,1,90501,10,0,@@,0,80300,@@,11,1,2,2,1,@@,10,@@,@@@@,M
1,1,0,C1600002483,1,92199,1,92199,@@,1,91703,1,91703,10,2,@@,0,40300,10,11,1,2,2,1,@@,10,10,@@@@,F
1,0,1,C1600002486,2,70105,1,70105,60,2,80300,1,80300,@@,1,109999,1,109999,@@,11,1,3,2,1,60,@@,@@,@@@@,F
0,1,0,C1600002490,1,@@,0,19901,10,1,@@,0,70103,@@,2,@@,0,30999,@@,11,1,2,2,2,@@,@@,@@,@@@@,F
0,0,1,C1600002497,0,@@,0,61903,@@,2,@@,0,30000,10,1,0,1,0,10,21,1,3,2,1,@@,@@,@@,@@@@,M
0,1,1,C1600002535,1,39999,1,39999,30,1,@@,0,19901,10,2,80313,1,80313,10,11,1,2,2,1,30,10,10,1973,M
0,0,0,C1600002536,2,60399,1,60399,@@,1,@@,0,50999,@@,1,30000,1,30000,10,11,1,2,2,3,@@,@@,10,1999,F
1,0,0,C1600002542,1,100501,1,100501,10,1,69900,1,69900,10,2,60701,1,60701,@@,11,1,2,2,1,10,10,@@,@@@@,M
0,1,1,C1600002544,1,0,1,0,10,1,90399,1,90399,10,1,81100,1,81100,@@,11,2,2,2,1,10,10,@@,1991,F
1,1,1,C1600002572,2,70100,1,70100,@@,2,@@,0,70103,10,1,92103,1,92103,10,11,1,3,2,1,@@,10,10,@@@@,F
0,0,0,C1600002583,1,@@,0,69903,10,1,81101,1,81101,@@,1,90913,1,90913,@@,11,1,2,2,1,@@,@@,@@,@@@@,F
0,0,1,C1600002594,1,89903,1,89903,10,1,@@,0,40107,10,2,@@,0,30000,10,11,1,1,2,1,10,10,10,@@@@,M
0,1,0,C1600002605,1,70101,1,70101,@@,1,@@,0,30303,@@,2,80300,1,80300,@@,21,1,2,2,1,@@,@@,@@,@@@@,F
1,1,0,C1600002613,1,70105,1,70105,@@,1,@@,0,40101,@@,1,90000,1,90000,2,11,1,3,2,1,@@,@@,2,@@@@,F
1,0,1,C1600002617,2,@@,0,10901,@@,2,0,1,0,@@,1,90000,1,90000,@@,11,1,2,2,1,@@,@@,@@,@@@@,M
1,1,0,C1600002621,0,120100,1,120100,@@,1,@@,0,0,@@,0,90399,1,90399,10,71,1,3,2,1,@@,@@,10,@@@@,M
0,0,0,C1600002652,2,@@,0,10901,2,1,@@,0,60101,@@,1,60101,1,60101,@@,11,2,3,2,3,@@,@@,@@,@@@@,F
0,0,0,C1600002664,2,@@,0,80301,21,2,@@,0,70103,@@,0,@@,0,69903,10,11,1,2,2,1,@@,@@,@@,@@@@,M
1,1,1,C1600002705,1,60301,1,60301,10,1,100700,1,100700,10,1,@@,0,0,@@,11,1,3,2,1,10,10,@@,@@@@,F
1,1,1,C1600002711,1,40399,1,40399,@@,1,@@,0,80399,@@,1,100705,1,100705,10,11,1,2,2,3,@@,@@,10,@@@@,M
0,1,0,C1600002714,1,@@,0,39900,@@,1,@@,0,100101,30,2,@@,0,60100,@@,61,1,2,2,1,@@,@@,@@,@@@@,F
0,0,0,C1600002723,1,60101,1,60101,@@,1,@@,0,60301,@@,2,29999,1,29999,@@,11,1,1,2,1,@@,@@,@@,@@@@,M
1,1,0,C1600002753,1,@@,0,100101,@@,1,@@,0,91515,@@,0,70105,1,70105,50,11,1,2,2,3,@@,@@,@@,1995,M
0,0,0,C1600002758,1,10900,1,10900,8,1,@@,0,40103,@@,2,@@,0,70103,10,11,1,2,2,1,8,@@,10,@@@@,F
1,1,0,C1600002765,2,80399,1,80399,@@,1,61705,1,61705,10,2,@@,0,99999,@@,11,1,2,2,1,@@,10,@@,@@@@,F
0,0,1,C1600002767,2,@@,0,61307,@@,1,@@,0,100101,10,1,@@,0,90000,10,11,1,2,2,2,@@,@@,@@,@@@@,M
0,0,0,C1600002768,1,90701,1,90701,@@,2,10000,1,10000,4,1,@@,0,90300,@@,11,1,2,2,1,@@,4,@@,@@@@,M
1,1,0,C1600002776,2,90100,1,90100,10,1,@@,0,80399,@@,1,90900,1,90900,7,11,1,3,2,3,10,@@,7,@@@@,M
1,1,1,C1600002818,1,40399,1,40399,@@,1,80101,1,80101,10,2,100501,1,100501,@@,11,2,2,2,1,@@,10,@@,@@@@,M
1,1,0,C1600002847,2,0,1,0,@@,2,@@,0,29900,10,2,@@,0,70199,10,11,1,2,2,1,@@,10,10,2006,M
0,0,0,C1600002860,2,100101,1,100101,3,1,@@,0,30000,@@,2,80100,1,80100,10,11,1,2,2,1,3,@@,10,@@@@,F
1,1,1,C1600002864,1,0,1,0,4,1,@@,0,39999,@@,2,@@,0,10000,@@,11,1,2,2,1,4,@@,@@,@@@@,M
1,1,0,C1600002873,1,0,1,0,@@,1,70101,1,70101,9,1,90701,1,90701,10,11,2,3,2,1,@@,9,10,@@@@,M
1,0,0,C1600002894,1,@@,0,90701,@@,0,@@,0,80301,@@,1,90999,1,90999,@@,11,2,2,2,2,@@,@@,@@,@@@@,F
1,0,1,C1600002896,1,@@,0,99999,10,1,@@,0,80301,10,1,70101,1,70101,@@,11,1,2,2,1,@@,@@,@@,@@@@,F
1,1,0,C1600002905,1,@@,0,80399,10,2,0,1,0,9,1,50999,1,50999,@@,98,1,1,2,3,@@,@@,@@,1992,F
1,1,0,C1600002915,0,10901,1,10901,10,1,99999,1,99999,10,1,0,1,0,@@,11,1,2,2,1,10,10,@@,@@@@,F
0,0,1,C1600002934,1,0,1,0,@@,1,90000,1,90000,@@,2,@@,0,100703,@@,11,2,2,2,1,@@,@@,@@,@@@@,F
1,0,0,C1600002957,0,@@,0,0,@@,1,100301,1,100301,10,1,90500,1,90500,@@,71,2,2,2,1,@@,@@,@@,&&&&,F
0,0,0,C1600002984,2,70199,1,70199,@@,0,@@,0,61707,@@,1,60301,1,60301,10,11,1,2,2,2,@@,@@,10,@@@@,F
0,1,1,C1600002998,1,@@,0,20199,10,1,@@,0,0,@@,2,61301,1,61301,10,11,1,2,2,1,@@,@@,@@,@@@@,M
1,0,0,C1600003003,1,@@,0,90300,60,1,70103,1,70103,10,1,@@,0,30701,10,11,1,2,2,1,@@,@@,@@,@@@@,F
1,0,0,C1600003005,1,@@,0,60399,12,2,@@,0,0,10,1,@@,0,90100,8,11,1,2,2,1,@@,@@,@@,@@@@,F
0,0,1,C1600003008,2,10000,1,10000,@@,2,@@,0,60100,@@,1,@@,0,30701,@@,11,1,2,2,1,@@,@@,@@,@@@@,M
0,0,1,C1600003025,1,30301,1,30301,10,2,@@,0,70105,@@,1,70103,1,70103,10,11,1,2,1,1,10,@@,10,@@@@,M
1,1,1,C1600003112,1,10913,1,10913,10,1,30701,1,30701,@@,1,70103,1,70103,@@,71,&,1,2,1,10,@@,@@,@@@@,F
0,0,0,C1600003136,1,@@,0,90999,@@,2,90700,1,90700,@@,1,61707,1,61707,@@,11,1,2,1,1,@@,@@,@@,@@@@,F
0,0,0,C1600003196,1,70103,1,70103,@@,1,@@,0,109999,10,1,70000,1,70000,@@,11,1,2,2,1,@@,10,@@,@@@@,M
0,1,0,C1600003204,1,30000,1,30000,@@,1,@@,0,69905,10,1,79999,1,79999,10,91,1,2,2,1,@@,10,10,2010,F
0,1,0,C1600003222,2,@@,0,60301,10,1,60301,1,60301,10,0,100101,1,100101,@@,11,1,2,2,1,@@,@@,@@,2010,M
0,0,1,C1600003223,1,61301,1,61301,11,1,@@,0,89999,21,1,10900,1,10900,10,11,1,3,2,1,11,21,10,@@@@,F
0,0,0,C1600003243,1,@@,0,70105,4,1,70100,1,70100,@@,0,20399,1,20399,@@,32,2,2,2,1,@@,@@,@@,@@@@,M
0,0,0,C1600003245,1,@@,0,69903,10,2,@@,0,30399,22,1,@@,0,70105,@@,11,1,2,2,1,@@,@@,@@,@@@@,M
0,0,0,C1600003246,2,@@,0,80300,@@,2,60300,1,60300,@@,1,50199,1,50199,10,11,1,2,2,1,@@,@@,@@,@@@@,M
0,1,1,C1600003251,1,@@,0,70103,10,1,100700,1,100700,@@,2,60300,1,60300,10,11,1,2,2,1,@@,@@,@@,2007,M
0,0,0,C1600003258,2,80101,1,80101,10,1,@@,0,60301,10,1,80100,1,80100,13,11,1,3,2,1,10,10,13,1996,M
0,1,1,C1600003269,2,80300,1,80300,41,2,80399,1,80399,@@,2,90000,1,90000,@@,11,1,2,2,1,41,@@,@@,2005,F
1,0,1,C1600003287,1,100103,1,100103,@@,1,@@,0,61703,@@,1,@@,0,91703,@@,11,1,2,2,3,@@,@@,@@,2005,M
0,0,0,C1600003298,1,@@,0,19901,@@,1,80101,1,80101,50,1,@@,0,19999,@@,11,1,2,2,1,@@,@@,@@,1994,F
1,1,1,C1600003305,1,10900,1,10900,10,2,80000,1,80000,@@,1,50199,1,50199,10,11,2,2,2,1,10,@@,10,@@@@,M
0,0,0,C1600003320,2,@@,0,80300,@@,1,60300,1,60300,10,1,80301,1,80301,10,11,1,2,2,3,@@,@@,@@,@@@@,F
0,0,1,C1600003331,1,@@,0,19900,@@,1,60399,1,60399,@@,1,0,1,0,60,61,1,2,2,1,@@,@@,@@,@@@@,M
0,1,0,C1600003367,2,90900,1,90900,@@,2,90300,1,90300,@@,1,@@,0,100199,10,11,1,3,2,1,@@,@@,10,@@@@,F
0,0,0,C1600003376,1,70105,1,70105,@@,2,19907,1,19907,10,1,60101,1,60101,@@,11,2,2,2,3,@@,10,@@,@@@@,F
1,1,0,C1600003378,1,80000,1,80000,10,2,@@,0,90501,@@,1,80300,1,80300,@@,11,2,2,2,1,10,@@,@@,@@@@,M
0,0,1,C1600003423,2,60101,1,60101,10,0,90701,1,90701,@@,1,@@,0,61309,61,15,1,3,2,1,10,@@,61,@@@@,F
0,0,0,C1600003430,1,30701,1,30701,8,1,@@,0,91100,9,1,60300,1,60300,@@,71,1,3,2,1,8,9,@@,@@@@,M
1,1,1,C1600003441,1,90309,1,90309,10,2,@@,0,10999,@@,1,0,1,0,@@,11,1,1,2,1,10,@@,@@,2002,F
1,0,0,C1600003444,1,19901,1,19901,@@,1,@@,0,90000,10,1,69903,1,69903,@@,11,2,2,2,1,@@,10,@@,@@@@,F
0,0,0,C1600003463,1,@@,0,91901,@@,2,70199,1,70199,60,2,@@,0,90913,10,11,1,3,2,1,@@,@@,@@,1994,F
0,0,0,C1600003492,2,31300,1,31300,@@,1,0,1,0,@@,2,61707,1,61707,@@,11,1,3,2,1,@@,@@,@@,@@@@,M
0,1,0,C1600003504,2,@@,0,60301,10,1,0,1,0,@@,1,80000,1,80000,10,23,1,2,2,1,@@,@@,@@,@@@@,F
0,0,0,C1600003541,1,@@,0,99999,30,1,80000,1,80000,10,1,@@,0,90000,@@,11,1,2,2,1,@@,@@,@@,@@@@,M
0,0,0,C1600003558,2,0,1,0,@@,1,@@,0,70000,@@,1,100500,1,100500,@@,11,1,3,2,1,@@,@@,@@,@@@@,M
1,0,1,C1600003563,2,90900,1,90900,10,1,60300,1,60300,@@,1,60500,1,60500,4,11,1,3,2,1,10,@@,4,@@@@,F
1,1,0,C1600003566,2,@@,0,91105,@@,2,@@,0,90000,@@,1,@@,0,80313,@@,11,1,3,2,1,@@,@@,@@,@@@@,F
0,0,0,C1600003572,1,70199,1,70199,@@,2,60300,1,60300,@@,1,50900,1,50900,@@,11,1,3,2,3,@@,@@,@@,@@@@,F
1,0,0,C1600003604,1,@@,0,90900,4,0,70105,1,70105,@@,1,80301,1,80301,10,11,1,3,2,3,@@,@@,@@,@@@@,M
0,0,0,C1600003609,2,61703,1,61703,@@,1,@@,0,70101,10,2,@@,0,61301,10,11,2,2,2,1,@@,10,10,2003,F
1,1,1,C1600003626,1,@@,0,61705,10,2,60301,1,60301,10,0,90300,1,90300,@@,11,1,2,2,1,@@,@@,@@,1988,F
1,1,0,C1600003656,1,@@,0,80399,@@,1,@@,0,60303,10,1,@@,0,81101,10,15,2,3,2,1,@@,@@,@@,@@@@,F
1,1,1,C1600003661,1,120199,1,120199,@@,1,90103,1,90103,10,1,39900,1,39900,10,91,1,1,2,1,@@,10,10,@@@@,M
1,0,1,C1600003674,1,10000,1,10000,4,2,19999,1,19999,@@,2,90399,1,90399,@@,11,2,2,2,1,4,@@,@@,@@@@,F
1,1,0,C1600003700,2,31100,1,31100,@@,1,90399,1,90399,10,1,@@,0,40107,4,11,1,1,2,3,@@,10,4,2000,M
0,0,0,C1600003702,1,70199,1,70199,10,2,60399,1,60399,4,0,0,1,0,10,92,1,2,2,3,10,4,10,@@@@,F
0,0,1,C1600003749,1,61307,1,61307,@@,2,@@,0,90599,10,1,90900,1,90900,10,11,1,2,2,1,@@,10,10,@@@@,F
1,0,0,C1600003764,1,60303,1,60303,9,1,0,1,0,2,1,@@,0,90000,@@,11,2,3,2,1,9,2,@@,@@@@,F
0,0,1,C1600003775,2,0,1,0,@@,2,80300,1,80300,@@,1,@@,0,100705,@@,11,1,2,2,1,@@,@@,@@,@@@@,M
1,1,0,C1600003777,2,@@,0,70103,6,1,@@,0,30000,10,1,10000,1,10000,@@,21,1,2,2,1,@@,@@,@@,@@@@,F
0,0,1,C1600003779,1,80311,1,80311,4,2,@@,0,20100,@@,1,@@,0,70105,@@,11,1,3,2,1,4,@@,@@,2014,M
0,1,1,C1600003841,2,70199,1,70199,@@,1,@@,0,90100,@@,2,80300,1,80300,@@,82,1,2,2,1,@@,@@,@@,@@@@,F
0,1,1,C1600003864,1,70105,1,70105,@@,0,90000,1,90000,@@,0,91703,1,91703,@@,11,1,2,2,1,@@,@@,@@,@@@@,F
0,0,0,C1600003879,1,@@,0,60300,@@,1,91500,1,91500,10,1,90000,1,90000,@@,11,1,2,2,1,@@,@@,@@,@@@@,F
1,0,1,C1600003894,2,@@,0,19999,@@,1,@@,0,90999,@@,2,80399,1,80399,13,91,1,2,2,1,@@,@@,@@,@@@@,M
0,0,1,C1600003895,2,@@,0,90501,60,1,@@,0,90900,@@,1,@@,0,60301,@@,61,2,3,2,2,@@,@@,@@,@@@@,M
0,0,0,C1600003951,1,@@,0,81101,13,2,@@,0,70103,@@,2,@@,0,60300,@@,12,1,1,2,1,@@,@@,@@,@@@@,F
1,1,0,C1600003957,1,70103,1,70103,@@,1,100700,1,100700,10,1,@@,0,90101,@@,98,1,3,2,1,@@,10,@@,@@@@,F
0,0,0,C1600003960,1,10905,1,10905,@@,1,20000,1,20000,@@,2,80399,1,80399,@@,82,&,3,2,1,@@,@@,@@,@@@@,F
1,0,0,C1600003976,1,80101,1,80101,@@,1,@@,0,90399,10,1,90300,1,90300,@@,11,1,2,2,1,@@,10,@@,@@@@,F
1,0,1,C1600004003,2,@@,0,80300,60,1,70101,1,70101,@@,1,@@,0,0,@@,11,1,3,2,1,@@,@@,@@,@@@@,M
0,0,0,C1600004007,1,0,1,0,@@,1,90513,1,90513,4,1,@@,0,0,4,11,2,2,2,1,@@,4,4,@@@@,M
0,1,1,C1600004011,1,0,1,0,@@,1,20100,1,20100,@@,0,@@,0,80101,@@,11,1,3,2,1,@@,@@,@@,2001,M
0,1,1,C1600004020,1,0,1,0,10,1,@@,0,100700,@@,2,70101,1,70101,60,11,2,2,2,1,10,@@,60,@@@@,M
0,1,1,C1600004076,2,@@,0,80323,@@,1,@@,0,80000,@@,1,@@,0,90300,@@,11,1,3,2,1,@@,@@,@@,@@@@,M
0,0,1,C1600004077,0,90000,1,90000,@@,2,@@,0,30999,@@,2,99900,1,99900,30,11,1,3,2,1,@@,@@,30,@@@@,F
0,0,1,C1600004144,1,90501,1,90501,10,2,@@,0,60301,@@,1,@@,0,100301,@@,11,1,2,2,1,10,@@,@@,@@@@,F
0,0,0,C1600004172,1,70115,1,70115,@@,1,@@,0,100505,@@,1,90000,1,90000,10,11,1,2,2,1,@@,@@,10,2001,F
1,1,1,C1600004181,2,100301,1,100301,@@,1,@@,0,61707,4,1,19901,1,19901,10,52,1,2,2,1,@@,4,10,@@@@,M
0,0,1,C1600004189,1,@@,0,80301,@@,2,@@,0,10999,10,1,80301,1,80301,@@,11,1,2,2,1,@@,@@,@@,@@@@,F
0,0,1,C1600004196,1,100101,1,100101,10,2,@@,0,69903,@@,2,60501,1,60501,10,11,1,2,2,1,10,@@,10,@@@@,F
1,1,0,C1600004228,1,100101,1,100101,60,2,61300,1,61300,10,2,89999,1,89999,@@,11,1,2,2,2,60,10,@@,2008,F
1,0,1,C1600004233,1,70303,1,70303,4,2,90000,1,90000,@@,2,31301,1,31301,@@,11,2,2,2,1,4,@@,@@,@@@@,F
1,1,1,C1600004239,1,@@,0,80000,6,1,10999,1,10999,@@,1,@@,0,90501,@@,11,1,2,2,1,@@,@@,@@,1991,M
0,1,0,C1600004242,2,91100,1,91100,@@,2,60500,1,60500,3,1,70103,1,70103,@@,11,1,2,2,1,@@,3,@@,@@@@,M
0,0,0,C1600004260,1,@@,0,80303,10,1,@@,0,70100,10,1,10000,1,10000,@@,11,1,2,2,1,@@,@@,@@,@@@@,M
0,0,0,C1600004262,1,61707,1,61707,10,1,@@,0,0,@@,2,@@,0,91301,@@,11,1,2,2,1,10,@@,@@,2003,F
1,0,0,C1600004285,1,@@,0,10101,10,2,70199,1,70199,10,1,@@,0,20300,10,11,1,1,2,1,@@,@@,@@,@@@@,F
0,0,1,C1600004290,1,100700,1,100700,@@,1,91105,1,91105,10,1,@@,0,40107,10,21,1,2,2,1,@@,10,10,@@@@,F
0,1,1,C1600004314,1,90000,1,90000,10,1,@@,0,80000,10,1,100301,1,100301,@@,71,1,2,2,1,10,10,@@,1996,F
0,0,1,C1600004320,1,@@,0,10000,60,1,@@,0,10100,@@,0,90000,1,90000,@@,11,1,2,2,3,@@,@@,@@,@@@@,M
0,0,0,C1600004339,1,@@,0,79999,10,2,@@,0,0,10,2,@@,0,61703,10,11,2,2,2,3,@@,@@,@@,@@@@,F
1,0,0,C1600004373,1,@@,0,90399,@@,0,19999,1,19999,10,1,80301,1,80301,10,11,1,2,2,1,@@,@@,@@,@@@@,M
0,1,0,C1600004376,2,10700,1,10700,10,2,@@,0,90501,2,1,30000,1,30000,61,11,2,2,2,1,10,2,61,@@@@,F
0,0,1,C1600004379,1,@@,0,29999,@@,1,0,1,0,4,1,@@,0,61300,10,11,2,2,2,1,@@,@@,@@,2007,M
0,1,0,C1600004391,2,@@,0,80399,10,1,79900,1,79900,4,1,@@,0,60301,@@,11,1,2,2,3,@@,@@,@@,1988,F
0,0,1,C1600004393,1,40399,1,40399,@@,1,@@,0,90000,@@,2,70103,1,70103,@@,61,2,2,2,3,@@,@@,@@,@@@@,M
1,0,0,C1600004406,2,@@,0,90501,@@,1,29999,1,29999,@@,1,40303,1,40303,@@,11,2,2,1,1,@@,@@,@@,@@@@,M
0,0,1,C1600004419,1,@@,0,80301,10,2,60301,1,60301,@@,1,80300,1,80300,2,11,2,2,2,1,@@,@@,@@,1999,F
0,0,0,C1600004452,1,90900,1,90900,10,1,60101,1,60101,@@,2,@@,0,100101,10,11,1,2,2,3,10,@@,10,@@@@,F
1,0,0,C1600004462,1,@@,0,100101,@@,1,90000,1,90000,@@,1,70101,1,70101,@@,21,1,2,2,1,@@,@@,@@,@@@@,F
0,1,0,C1600004526,2,@@,0,0,@@,1,@@,0,100100,@@,1,@@,0,60399,10,21,1,3,2,3,@@,@@,@@,@@@@,M
0,0,0,C1600004527,1,@@,0,91703,2,1,90000,1,90000,@@,1,70101,1,70101,@@,11,2,1,2,1,@@,@@,@@,@@@@,M
0,1,0,C1600004550,1,@@,0,10703,4,1,80301,1,80301,@@,1,99999,1,99999,@@,12,1,2,2,1,@@,@@,@@,@@@@,M
